Name,Sold,Amount,Profit,Id
Organic Dried Red Beet Dices (55 lbs),3,1799.85,800.4,70028
Organic Freeze-Dried Pineapple Dices (20 Lb. Wholesale Box),3,2399.85,804.45,70178
Sea Salt (38 oz),3,119.85,81.27,30022
Shipping Adjustment,3,0,0,99900
Textured Soy Protein (Unflavored) (10 oz),3,32.39,20.06,21082
Tomato Plus Seasoning (3 lb.),3,329.85,223.44,96052
Tomato Powder (30 lbs),3,1124.65,627.43,10116
Beef Style Pieces (Unflavored) (10 oz),2,23.32,17.08,21092
Beef Style Pieces (Unflavored) (15 lbs.),2,149.92,83.3,21096
Beef Style Pieces (Unflavored) (42 oz),2,47.93,30.17,21094
Beefish Seasoning (10 lb.),2,503.91,215.11,96033
Beefish Soup Mix with Mushrooms - PLAIN (22 lb. Bulk Box),2,359.9,149.18,95076
Champignon Mushroom Powder & Bits (4 Cups),2,39.9,28.32,11052-2
Chicken Style Bits (Unflavored) (15 lbs.),2,149.92,78.5,21026
